  29,LTR_02,597.0,1.00, 3.0,0.12,  0,-30.2,18.0,   7.2,21.0,11.5,60.2, 0.0, 0.0, 0.0,   0.0,
  30,LTR_02,390.0,1.00, 3.0,0.12,  0,-30.2,18.0,   7.2,21.0,11.5,60.2, 0.0, 0.0, 0.0,   0.0,
  31,LTR_02,390.0,1.00, 3.0,0.03,  0,-31.8,16.7,   8.7,22.6,15.5,53.2, 0.0, 0.0, 0.0,   0.0,
  32,LTR_02,390.0,1.00, 2.0,0.03,  0,-25.9,20.8,   9.2,23.0,16.5,51.3, 0.0, 0.0, 0.0,   0.0,
  33,LTR_02,390.0,1.00, 2.0,0.06,  0,-31.7,20.0,   8.6,22.6,15.3,53.4, 0.0, 0.0, 0.0,   0.0,
  34,LTR_02,390.0,1.00, 2.0,0.12,  0,-30.4,20.5,   7.7,22.0,13.3,56.9, 0.0, 0.0, 0.0,   0.0,
  35,Sitzschale,250.0,1.10, 3.0,0.03,  0,-35.5, 5.0,   0.3,17.5,26.4,55.9, 0.0, 0.0, 0.0,   0.0,
  36,Sitzschale,250.0,1.10, 3.0,0.03,800,-34.3, 5.6,   0.3,10.5,20.3,68.9, 0.0, 0.0, 0.0,   0.0,
  37,Sitzschale,250.0,1.10, 6.0,0.03,800,-31.9, 4.1,   0.2, 8.1,18.5,73.1, 0.0, 0.0, 0.0,   0.0,
  38,Sitzschale,250.0,1.10, 9.0,0.03,800,-35.9, 3.0,   0.2, 7.0,16.4,76.4, 0.0, 0.0, 0.0,   0.0,
  39,Sitzschale,250.0,1.10, 9.0,0.06,800,-37.9, 2.0,   0.2, 4.6, 9.6,85.5, 0.0, 0.0, 0.0,   0.0,
  40,Sitzschale,250.0,1.20, 9.0,0.03,800,-33.6, 3.3,   0.2, 7.2,16.4,76.2, 0.0, 0.0, 0.0,   0.0,
  41,Sitzschale,250.0,1.10, 3.0,0.03,  0,-35.9, 5.3,   0.2,17.7,26.7,55.4, 0.0, 0.0, 0.0,   0.0,
  42,Sitzschale,250.0,1.10, 3.0,0.03,200,-35.7, 5.3,   0.1,14.4,24.0,61.4, 0.0, 0.0, 0.0,   0.0,
  43,Sitzschale,250.0,1.10, 3.0,0.03,800,-33.3, 5.5,   0.3,10.5,19.8,69.4, 0.0, 0.0, 0.0,   0.0,
  44,Sitzschale,250.0,1.10, 3.0,0.12,800,-48.2, 3.8,   0.2, 6.2,10.0,83.5, 0.0, 0.0, 0.1,   0.0,
  45,Sitzschale,250.0,1.10, 6.0,0.03,800,-32.9, 4.3,   0.2, 8.3,17.9,73.6, 0.0, 0.0, 0.0,   0.0,
  46,Sitzschale,250.0,1.10, 6.0,0.06,800,-36.7, 3.5,   0.2, 6.0,12.8,80.9, 0.0, 0.0, 0.0,   0.0,
  47,Sitzschale,250.0,1.10, 6.0,0.12,800,-50.0, 2.1,   0.2, 3.9, 6.2,89.3, 0.2, 0.0, 0.1,   0.0,
  48,Sitzschale,250.0,1.10, 9.0,0.12,800,-48.7, 0.6,   0.1, 2.6, 5.6,90.6, 0.5, 0.1, 0.6,   0.0,
  49,Sitzschale,250.0,1.10, 9.0,0.06,800,-37.9, 2.0,   0.2, 4.6, 9.6,85.5, 0.0, 0.0, 0.0,   0.0,
  50,Sitzschale,250.0,1.10, 9.0,0.03,800,-33.7, 3.1,   0.2, 7.0,15.4,77.4, 0.0, 0.0, 0.0,   0.0,
  51,Sitzschale,250.0,1.20, 9.0,0.03,800,-34.4, 2.9,   0.2, 7.2,16.4,76.2, 0.0, 0.0, 0.0,   0.0,
END
